"002100200015";5;;"2020-01-01";3;"1640";5;0;0;2;4;0;100;0;0;0;550;2;1;01;1;2;1;2;1;0;0;00;1;01;00;;3;02;"09";1;0;0;0;1;1;500;3;1;1;"";"";"-731242,689";"-1038804,398";"-731241,711";"-1038806,132";"PRAHA9-VINOÿ";"MLADOBOLESLAVSK¡";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200016";5;;"2020-01-01";3;"1740";1;4;0;2;1;2;503;0;0;0;800;2;1;01;1;4;1;2;1;0;0;05;1;02;00;;3;16;"18";1;0;1;0;1;1;400;2;1;1;"";"";"-742231,575";"-1046473,512";"-742231,470";"-1046473,652";"PRAHA4Nusle";"5.kvÏtna";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200017";5;;"2020-01-01";3;"1829";4;0;0;1;1;2;412;0;0;1;100;2;1;01;1;4;1;0;1;3;3;01;5;01;10;;5;47;"15";3;0;1;0;1;1;100;2;1;1;"";"";"-741829,114";"-1045925,039";"-741829,043";"-1045921,222";"PRAHA4Nusle";"T¡BORSK¡";"";"sledovan·komunikace";"";"";"";"";"";"";"";"";"1"
"002100200018";6;;"2020-01-01";3;"1920";1;4;0;2;1;0;503;0;0;0;150;2;1;01;1;4;1;1;1;0;0;00;1;02;00;;5;13;"";9;0;4;0;1;5;0;9;;;"";"";"-743037,080";"-1043552,244";"-743036,177";"-1043552,115";"PRAHA1";"N¡RODNÕ";"";"uzel";"";"";"";"";"";"";"";"";"1"
"002100200019";6;;"2020-01-01";3;"2116";2;0;0;2;1;2;502;0;0;0;300;2;1;01;1;4;1;1;1;0;0;00;1;02;00;;3;12;"09";1;0;1;0;1;5;200;2;1;1;"";"";"-738032,598";"-1045167,502";"-738032,642";"-1045166,744";"PRAHA10Straönice";"VÃäÕNOVA";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200020";6;;"2020-01-01";3;"2205";1;4;0;2;1;0;503;0;0;0;400;2;1;01;1;4;1;1;1;0;0;00;1;02;00;;3;02;"08";1;0;4;0;1;5;0;9;;;"";"";"-742188,477";"-1041685,238";"-742188,894";"-1041685,301";"PRAHA7Holeöovice";"KAMENICK¡";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200021";6;;"2020-01-02";4;"0715";4;0;0;1;1;2;508;0;0;1;5;2;1;01;1;4;1;0;1;3;3;00;4;01;10;;3;39;"03";1;0;1;0;1;5;5;2;1;1;"";"";"-738771,610";"-1050326,696";"-738771,714";"-1050328,311";"PRAHA4";"HR¡SK…HO";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200022";6;;"2020-01-02";4;"0845";3;0;2;2;1;2;204;0;0;0;1100;2;3;01;6;1;1;1;1;0;0;00;3;01;00;;3;32;"08";3;1;1;0;1;5;1000;2;1;1;"";"";"-751850,031";"-1041161,022";"-751850,313";"-1041161,040";"PRAHA6RuzynÏ";"FAJTLOVA";"";"mÌstnÌkomunikace";"";"";"";"";"";"";"";"";"1"
"002100200023";5;;"2020-01-01";3;"2560";2;0;0;2;1;0;516;0;0;0;10;2;1;01;1;1;1;2;1;0;5;01;1;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-740986,089";"-1045076,613";"-740994,567";"-1045066,979";"Praha4";"Novodvorsk·";"";"mÌstnÌkomunikace";"";"283559";"";"";"Pomal˝";"554782";"453641";"GN_V0.1UIR-ADR_410";"1"
"002100200024";5;;"2020-01-02";4;"1000";1;3;0;2;1;2;405;0;0;0;200;2;1;01;1;1;1;0;1;2;0;02;4;02;10;;3;05;"07";1;0;1;0;1;3;100;2;1;1;"";"";"-739713,341";"-1045503,480";"-739712,792";"-1045506,178";"PRAHA10";"VRäOVICK¡";"";"uzel";"";"";"";"";"";"";"";"";"1"
